Size,Runtime
(bytes),(seconds)
      2560,0.00000000
      3072,0.00000000
      3584,0.00000000
      4096,0.00000000
      5120,0.00000000
      6144,0.00000000
      7168,0.00000000
      8192,0.00000000
     10240,0.00000000
     12288,0.00000000
     14336,0.00000000
     16384,0.00000000
     20480,0.00000000
     24576,0.00000000
     28672,0.00000000
     32768,0.00000000
     40960,0.00000000
     49152,0.00000000
     57344,0.00000000
     65536,0.00000000
     81920,0.00000000
     98304,0.00000000
    114688,0.00000000
    131072,0.00000000
    163840,0.00000000
    196608,0.00000000
    229376,0.00000000
    262144,0.00000000
    327680,0.00000000
    393216,0.00000000
    458752,0.00000000
    524288,0.00000000
    655360,0.00000000
    786432,0.00997281
    917504,0.00000000
   1048576,0.00996614
   1310720,0.00000000
   1572864,0.00000000
   1835008,0.00997305
   2097152,0.00000000
   2621440,0.00999808
   3145728,0.00999188
   3670016,0.00998592
   4194304,0.00999880
   5242880,0.00999904
   6291456,0.00998998
   7340032,0.00999904
   8388608,0.00998402
  10485760,0.00998998
  12582912,0.00999403
  14680064,0.00999403
  16777216,0.00999808
  20971520,0.00999880
  25165824,0.00999308
  29360128,0.00997400
  33554432,0.00999594
  41943040,0.00995994
  50331648,0.00999904
  58720256,0.00998902
  67108864,0.00998688
  83886080,0.00998807
 100663296,0.00999284
 117440512,0.00998712
 134217728,0.00997496
